ID,Category,Section,Status,Question,Decision,Rationale
11,Tier strategy,§10.4,OPEN,"Should BERT be one general model or domain-specialised (HR-bert, Legal-bert, Finance-bert)?","Open — trade-off across training cost, cold-start time, warm-pool sizing.",""
12,Scaling,§10.5,OPEN,"GPU sizing for gls-bert-inference?","Open — CPU sufficient for ModernBERT-base at expected QPS. GPU pool becomes a separate concern for larger encoders or batch real-time inference.",""
13,Contracts — Shape,§11.A.1,DECIDED,"Sync vs async response model for /v1/classify?","Single endpoint with optional Prefer: respond-async header. 200 = BERT/SLM accepted; 202 = escalated to LLM with callback via Rabbit.","Same surface for both call sites (orchestrator + ad-hoc gls-api reclassification); HTTP client must accept both response shapes."
14,Contracts — Shape,§11.A.2,DECIDED,"Block-version pinning vs latest in the contract?","Accept both — version optional, defaults to active. PipelineDefinition decides whether to pin at dispatch time.","Pinned for reproducible audit replays; active for fresh runs that should not drift across publishes. Unblocks 'dry-run a new ROUTER policy against last week's docs.'"
15,Contracts — Shape,§11.A.3,DECIDED,"Tenancy in the contract?","Not applicable. Single-tenant deployment; no tenantId in the contract, no tenant-aware routing in the router, no tenant claim in auth tokens.","GLS is single-tenant per deployment. Internal scoping (department, business unit, content domain) lives in the application's authorisation model, not at the inter-service contract surface."
16,Contracts — Shape,§11.A.4,DECIDED,"Idempotency on duplicate nodeRunId?","Within TTL, return cached result if completed or 409 IN_FLIGHT if running. Orchestrator generates a new nodeRunId on explicit retry. TTL: 24 hours.","Covers typical replay windows; cheap to store the result hash."
17,Contracts — Shape,§11.A.5,DECIDED,"Error envelope format?","RFC 7807 application/problem+json across every worker (not just router). Extension fields: code, lastErrorStage, retryable, retryAfterMs, trace.","Uniform error shape avoids the orchestrator becoming a per-worker translation layer."
18,Auth & Security,§11.A.6,DECIDED,"Inter-container auth mechanism?","Service-account JWTs (service identity + scopes as claims). mTLS later if/when a service mesh is adopted.","JWTs are intent-bearing and easier to debug; work without a mesh dependency. Per-organisation token issuer is unnecessary in single-tenant."
19,Contracts — Conventions,§11.B.1,DECIDED,"Text payload — inline or reference?","Inline text if ≤ 256 KB; otherwise textRef with a presigned MinIO URL. Worker fetches lazily. Spec defines both fields; exactly one required.","Avoids 200 MB extracted-text bodies bouncing across the fleet."
20,Contracts — Conventions,§11.B.2,DECIDED,"Trace context propagation?","W3C traceparent header mandated on every inter-container call.","Cheap to add now; painful to retrofit. Correlates audit Tier 1/2 with distributed traces."
21,Contracts — Conventions,§11.B.3,DECIDED,"Capability discovery?","GET /v1/capabilities on every container exposing healthy tiers and loaded model versions.","Used by orchestrator pre-flight (skip a tier if reported down), admin UI live topology, CI smoke tests."
22,Contracts — Conventions,§11.B.4,DECIDED,"Cost attribution in responses?","costUnits (currency-decoupled abstract unit) + tokensIn / tokensOut, per-tier-attempt and rolled up.","Pricing changes don't break the contract; per-attempt detail enables tier-of-decision and cost-per-document analytics."
23,Contracts — Non-functional,§11.C.1,DECIDED,"Backpressure mechanism?","429 with Retry-After header. Orchestrator re-queues on Rabbit with delay; does not spin-retry over HTTP.","Retry-After gives operators a knob; avoids HTTP-level retry storms."
24,Contracts — Non-functional,§11.C.2,DECIDED,"Sync timeout ceiling?","12 seconds on the orchestrator's HTTP client. Beyond that the router should already have returned 202 and switched to async.","Covers BERT + SLM cascade comfortably."
25,Contracts — Non-functional,§11.C.3,DECIDED,"API versioning approach?","Path-based (/v1/classify). Additive evolution; x-extensible-enum on enum responses; avoid oneOf discriminators that break on new variants.","New tiers (e.g. DISTILLED between BERT and SLM) become new enum values without breaking old clients."
26,Contracts — Non-functional,§11.C.4,DECIDED,"extractedMetadata schema in OpenAPI?","Free-form Map<String, Any> in OpenAPI. Request optionally references metadataSchemaId; worker validates against the schema in MongoDB.","Keeps the API surface stable while metadata schemas evolve at runtime."
27,Contracts — Deferred,§11.D,DEFERRED,"Streaming partial results (SSE) for tier-by-tier progress?","Deferred — useful only if humans are waiting; orchestrator does not need it.","Add when an interactive UX requirement appears."
28,Contracts — Deferred,§11.D,DEFERRED,"dryRun: true mode for evaluating policy changes against historical traffic?","Deferred — worth adding when A/B-testing ROUTER policies is on the table.","Premature for v1."
29,Contracts — Deferred,§11.D,DEFERRED,"Bulk classification endpoint?","Deferred — one-doc-per-request is enough until a batch use case materialises.","Premature for v1."
30,Scaling,§3 / §9.15,DECIDED,"Caching strategy for taxonomy, policy, scan-rule, and governance reference data?","In-memory cache per replica, populated on first read from MongoDB. Refresh is change-driven via a `gls.config.changed` Rabbit topic — every write that mutates a governance entity (taxonomy, PII patterns, retention schedules, sensitivity definitions, metadata schemas, storage tiers, traits, governance policies, pipeline blocks) fires an event with the changed entity IDs; all replicas subscribe and invalidate granularly. Hub `PackImportService` MUST fire the same event for every component it imports — hub-driven updates propagate identically to local writes. Replaces the existing MCP Caffeine TTL cache for governance entities.","TTL caches evict hot entries at scale and serve stale data between write and TTL expiry. Change-driven refresh keeps the working set in memory, pays a Mongo read only on actual change, and preserves consistency end-to-end. Hub propagation is load-bearing — without it, governance updates published from the hub stay invisible to running services until restart or TTL."
31,Domain Model,§3,RECOMMENDED,"Should `PiiTypeDefinition` be category-scoped?","Add `applicableCategoryIds[]` array following the `GovernancePolicy` / `PipelineDefinition` pattern. Empty array preserves current global behaviour as the default.","Different categories require different PII profiles (HR / Finance / Marketing). Global patterns waste compute and miss category-specific signals. The `applicableCategoryIds[]` pattern is already established in the codebase."
32,Domain Model,§3,RECOMMENDED,"Should `StorageTier` be category-scoped?","Add `applicableCategoryIds[]`. Empty = global (current behaviour preserved).","Storage requirements vary by category — financial → immutable archive, marketing → standard. Currently global means a single policy covers all categories, which can't reflect category-specific compliance needs."
33,Domain Model,§3,RECOMMENDED,"Should `TraitDefinition` be category-scoped?","Add `applicableCategoryIds[]`. Trait detection becomes per-category (e.g. SIGNED only flagged on contracts).","Improves LLM prompting precision and reduces noise. Same `applicableCategoryIds` pattern as other governance entities."
34,Domain Model,§3,RECOMMENDED,"Should `SensitivityDefinition` be promoted from enum + denormalised field to a first-class entity?","Create `SensitivityDefinition` entity with `applicableCategoryIds[]`. The Java enum stays in code for type safety; the entity holds the rules, labels, and category links. `category.defaultSensitivity` becomes a reference to a `SensitivityDefinition`, not a denormalised value.","Currently sensitivity is split between an enum (code) and a denormalised field (data). First-class entity enables org-specific sensitivity rules, hub-publishable definitions, and consistent CRUD via the admin panel. Aligns with the configuration-driven design rule in CLAUDE.md."
35,Topology,§3,RECOMMENDED,"Add a new `POLICY` `BlockType` to `PipelineBlock.BlockType`?","POLICY block contains taxonomy-driven dispatch rules — which `PiiTypeDefinition`s to scan, which `MetadataSchema`s to extract, which `GovernancePolicy`s to apply, plus optional conditions per category. Interpreted at the stage ④ node in the pipeline DAG. Reuses existing block versioning, hot-load, and admin UI machinery.","Existing BlockType enum has PROMPT, ROUTER, ENFORCER, BERT_CLASSIFIER — adding POLICY follows the established versioned-content pattern. Avoids forking the orchestrator per deployment; keeps rules as data."
36,Tier strategy,§3,RECOMMENDED,"Should stage ④ scans (PII / PHI / PCI / metadata) reuse `gls-classifier-router` cascade, or call workers directly?","Reuse `gls-classifier-router` with task-specific PROMPT blocks. Same cascade (BERT → SLM → LLM), different content per task.","Direct-to-worker scales the cost: ~1.5M extra calls per million docs = 2.5× LLM bill without the cascade. The cascade exists precisely to make repeated model calls affordable — most scans should answer cheaply at BERT or Haiku tier. Bypassing it is the wrong shape at any scale where the multiplier matters."
37,Topology,§3,DEFERRED,"Where does the POLICY-block interpreter run — in-engine within `gls-orchestrator`, or in a separate `gls-policy-engine` container?","Defer. Build in-engine first (Option A) with a clean node interface and block content schema. Promotion to a sidecar container (Option B) is a deploy-time choice, not a refactor.","Deployment-variance argues for separation of concerns; YAGNI argues against premature container splits. Putting the variance inside the node *implementation* rather than at the architectural seam keeps the orchestrator narrow and lets complex-rules deployments swap implementations without affecting the rest of the topology."
38,Topology,§3,DECIDED,"Deployment target for v2 services — K8s or Docker Compose?","Docker Compose for v2. K8s manifests written as `shell only` (Deployment / Service / HPA structure with empty values) for the reference service; full K8s adoption deferred. Future build guidance: docs/operations/k8s-deferred-guidance.md.","Existing v1 infra is Compose-based with Cloudflare tunnel + nginx; v2 introduces no horizontal scaling pressure that justifies the K8s operator burden today. Compose path keeps deploys simple while leaving the K8s seam intact for a future migration."
39,Contracts — Conventions,§Plan-0.5,DECIDED,"OpenAPI code generator for server stubs and client SDKs?","openapi-generator-maven-plugin (OpenAPITools). Generates Spring Boot server stubs from `contracts/<service>/openapi.yaml` (`spring` generator with `interfaceOnly=true`, `useSpringBoot3=true`, `useJakartaEe=true`) and a TypeScript fetch client for the Next.js frontend (`typescript-fetch` generator). Wired as a Maven build phase. Generated artefacts committed under `contracts/<service>/generated/` per the API Contracts rule in CLAUDE.md.","Industry-standard generator with the broadest language coverage and current OpenAPI 3.1.1 support. Single tool covers backend stubs *and* frontend SDK — we don't run two generators or maintain two configs. Maven-plugin form integrates cleanly with the existing multi-module backend; the same plugin emits TS for the frontend without a Node toolchain in the JVM build. Alternatives (Swagger Codegen — older fork, less active; NSwag — .NET-leaning, weaker JVM templates) are worse fits for a JVM + TypeScript stack."
40,Contracts — Conventions,§Plan-0.5,DECIDED,"OpenAPI lint tool — Spectral or Redocly?","Spectral (Stoplight, OSS Apache 2). CLI + npm + GitHub Action + pre-commit hook. Start from `spectral:oas recommended` ruleset; tighten via custom rules under `contracts/.spectral.yaml` as conventions surface. Lint runs in pre-commit on any spec edited under `contracts/` and in CI on every PR touching `contracts/`.","OSS with zero vendor risk; free forever. Permissive default ruleset matches the plan's `start-permissive-tighten-over-time` posture (Phase 0 Risk callouts). No near-term need for a hosted API docs portal — Redocly's value-add (bundling + ReDoc HTML + Reunite portal) isn't load-bearing today. If that need surfaces later, Redocly's CLI can layer on top since both consume OpenAPI 3.1.1 and rulesets are partly portable. Industry-default linter; broad community ruleset library."
41,Reliability,§Plan-0.10,DECIDED,"MongoDB schema migration tool?","Mongock 5+ wired into `gls-app-assembly` via Spring Boot autoconfig. Migrations expressed as `@ChangeUnit` Java classes with `@Execution` (apply) and optionally `@RollbackExecution` (rollback). Tracked in the `mongockChangeLog` collection. Lock-based coordination across replicas at startup. Phase 0.10 ships a no-op smoke `@ChangeUnit`; future schema changes (new collections, indexes, field migrations, backfills like the existing `SlugBackfillRunner`) become change units.","Native MongoDB design (not a SQL tool with a Mongo grafting); active project with Spring Boot 3+, Java 21, and MongoDB 6+ support. Replaces ad-hoc startup runners (`SlugBackfillRunner` etc.) with a tracked, repeatable, environment-consistent migration mechanism. Alternatives weaker: Liquibase MongoDB extension (SQL-shaped core grafted onto Mongo, less idiomatic), custom `@PostConstruct` runners (no tracking, no rollback, runs every startup), manual shell scripts (drift-prone, no audit trail)."
